Country,Attendance Mode,Day 1,Day 2,Local Hub Country,Count
Afghanistan,Online,Yes,,,2
Afghanistan,Online,Yes,Yes,,4
Afghanistan,Onsite,Yes,Yes,,4
Australia,Online,Yes,Yes,,1
Azerbaijan,Online,Yes,Yes,,2
Azerbaijan,Onsite,Yes,Yes,,2
Bangladesh,Local Hub,Yes,Yes,Sri Lanka,1
Bangladesh,Online,Yes,Yes,,3
Bangladesh,Onsite,,Yes,,4
Bangladesh,Onsite,Yes,,,1
Bangladesh,Onsite,Yes,Yes,,15
Bhutan,Onsite,Yes,Yes,,1
Brazil,Onsite,Yes,Yes,,1
Chile,Online,Yes,Yes,,1
Cambodia,Local Hub,Yes,Yes,Cambodia,1
Cambodia,Online,Yes,Yes,,2
Cambodia,Onsite,Yes,Yes,,1
Chad,Onsite,Yes,Yes,,1
China,Online,Yes,,,1
China,Onsite,Yes,Yes,,1
Fiji,Online,Yes,Yes,,1
Fiji,Onsite,Yes,Yes,,4
Germany,Online,Yes,Yes,,1
Hong Kong,Onsite,Yes,Yes,,2
Hungary,Online,,Yes,,1
India,Local Hub,,Yes,India,2
India,Local Hub,Yes,Yes,India,7
India,Online,,Yes,,17
India,Online,Yes,,,4
India,Online,Yes,Yes,,51
India,Onsite,,Yes,,1
India,Onsite,Yes,,,2
India,Onsite,Yes,Yes,,35
Indonesia,Local Hub,Yes,Yes,Indonesia,1
Indonesia,Online,Yes,Yes,,4
Indonesia,Onsite,Yes,Yes,,8
Japan,Online,Yes,Yes,,2
Laos,Online,Yes,Yes,,1
Madagascar,Online,Yes,Yes,,1
Malaysia,Onsite,Yes,Yes,,2
Mongolia,Local Hub,Yes,Yes,Nepal,1
Mongolia,Online,Yes,Yes,,1
Myanmar,Local Hub,Yes,Yes,Thailand,1
Myanmar,Online,Yes,Yes,,4
Myanmar,Onsite,Yes,Yes,,1
Nepal,Local Hub,Yes,Yes,Nepal,16
Nepal,Online,,Yes,,1
Nepal,Online,Yes,Yes,,20
Nepal,Onsite,,Yes,,6
Nepal,Onsite,Yes,,,9
Nepal,Onsite,Yes,Yes,,195
New Zealand,Online,Yes,Yes,,1
Pakistan,Local Hub,Yes,Yes,Pakistan,6
Pakistan,Online,Yes,,,3
Pakistan,Online,Yes,Yes,,16
Pakistan,Onsite,,Yes,,4
Pakistan,Onsite,Yes,,,1
Pakistan,Onsite,Yes,Yes,,15
Papua New Guinea,Online,Yes,,,1
Papua New Guinea,Online,Yes,Yes,,2
Papua New Guinea,Onsite,Yes,Yes,,3
Philippines,Local Hub,Yes,Yes,Philippines,1
Philippines,Online,Yes,,,1
Philippines,Online,Yes,Yes,,2
Philippines,Onsite,Yes,Yes,,2
Russia,Online,Yes,Yes,,1
Samoa,Online,Yes,Yes,,1
Samoa,Onsite,Yes,Yes,,1
Singapore,Onsite,Yes,Yes,,1
South Korea,Local Hub,,Yes,South Korea,1
South Korea,Onsite,Yes,Yes,,10
Sri Lanka,Online,Yes,Yes,,3
Sri Lanka,Onsite,Yes,Yes,,2
Switzerland,Onsite,Yes,Yes,,1
Taiwan,Online,Yes,Yes,,1
Taiwan,Onsite,Yes,Yes,,3
Thailand,Online,Yes,Yes,,1
Thailand,Onsite,Yes,Yes,,2
Timor-Leste,Local Hub,,Yes,Indonesia,1
Timor-Leste,Local Hub,,Yes,Timor-Leste,1
Ukraine,Online,Yes,Yes,,1
United Kingdom,Onsite,,Yes,,1
United States,Onsite,Yes,Yes,,1
Uzbekistan,Online,Yes,Yes,,1
Vietnam,Online,Yes,,,1
Vietnam,Online,Yes,Yes,,12
Vietnam,Onsite,,Yes,,1
Vietnam,Onsite,Yes,Yes,,4
