Date,Country,Attend in person?,which day,Record ID
8/24/26 20:05,Nepal,Yes,"3 October, 4 October, Both 3 and 4 October",r-001
8/24/26 20:07,Nepal,Yes,Both 3 and 4 October,r-002
8/24/26 20:07,Nepal,Yes,"3 October, 4 October, Both 3 and 4 October",r-003
8/24/26 20:07,Afghanistan,Yes,Both 3 and 4 October,r-004
8/24/26 20:08,Fiji,Yes,Both 3 and 4 October,r-005
8/24/26 20:08,Afghanistan,Yes,Both 3 and 4 October,r-004
8/24/26 20:10,Bangladesh,Yes,Both 3 and 4 October,r-006
8/24/26 20:11,Taiwan,Yes,Both 3 and 4 October,r-007
8/24/26 20:12,Brasil,Yes,Both 3 and 4 October,r-008
8/24/26 20:14,Pakistan,Yes,Both 3 and 4 October,r-009
8/24/26 20:17,Samoa,Yes,Both 3 and 4 October,r-010
8/24/26 20:18,Fiji,Yes,Both 3 and 4 October,r-011
8/24/26 20:18,Nepal,Yes,Both 3 and 4 October,r-012
8/24/26 20:21,Bangladesh,Yes,Both 3 and 4 October,r-013
8/24/26 20:32,Pakistan,Yes,Both 3 and 4 October,r-014
8/24/26 20:34,India,Yes,Both 3 and 4 October,r-015
8/24/26 20:40,Nepal,Yes,"3 October, 4 October, Both 3 and 4 October",r-016
8/24/26 20:42,Pakistan,Yes,Both 3 and 4 October,r-017
8/24/26 21:08,BSP Financial Group Limited,Not Sure yet,Both 3 and 4 October,r-018
8/24/26 21:12,Nepal,Yes,3 October,r-019
8/24/26 21:16,Nepal,Yes,Both 3 and 4 October,r-020
8/24/26 21:30,Nepal,Yes,Both 3 and 4 October,r-021
8/24/26 22:47,Bangladesh,No,I am not attending APyIGF onsite,r-022
8/24/26 23:02,Singapore,Yes,Both 3 and 4 October,r-023
8/24/26 23:19,Mongolia,Yes,Both 3 and 4 October,r-024
8/25/26 0:03,India,Yes,Both 3 and 4 October,r-025
8/25/26 0:12,Vietnam,No,I am not attending APyIGF onsite,r-026
8/25/26 0:39,Nepal,Yes,Both 3 and 4 October,r-027
8/25/26 1:03,Nepal,Yes,Both 3 and 4 October,r-028
8/25/26 1:08,Nepal,Yes,Both 3 and 4 October,r-029
8/25/26 1:12,Nepal,Yes,Both 3 and 4 October,r-030
8/25/26 1:14,Nepal,Yes,Both 3 and 4 October,r-031
8/25/26 1:18,Nepal,Yes,Both 3 and 4 October,r-032
8/25/26 1:25,Nepal,Not Sure yet,Both 3 and 4 October,r-033
8/25/26 1:26,Nepal,Yes,Both 3 and 4 October,r-034
8/25/26 1:26,Nepal,Yes,Both 3 and 4 October,r-034
8/25/26 1:37,Myanmar,Not Sure yet,Both 3 and 4 October,r-035
8/25/26 1:39,Nepal,Yes,Both 3 and 4 October,r-036
8/25/26 1:40,India,Not Sure yet,Both 3 and 4 October,r-037
8/25/26 1:48,Nepal,Not Sure yet,Both 3 and 4 October,r-038
8/25/26 1:49,India,Yes,Both 3 and 4 October,r-039
8/25/26 1:53,Nepal,Yes,Both 3 and 4 October,r-040
8/25/26 1:53,Nepal,Yes,Both 3 and 4 October,r-041
8/25/26 1:57,Nepal,Yes,Both 3 and 4 October,r-042
8/25/26 2:03,Nepal,Yes,3 October,r-043
8/25/26 2:04,Nepal,Yes,Both 3 and 4 October,r-044
8/25/26 2:07,Bangladesh,Yes,Both 3 and 4 October,r-045
8/25/26 2:08,Sri Lanka,Yes,4 October,r-046
8/25/26 2:17,Nepal,No,I am not attending APyIGF onsite,r-047
8/25/26 2:25,Nepal,Yes,Both 3 and 4 October,r-048
8/25/26 2:32,Pakistan,Not Sure yet,I am not attending APyIGF onsite,r-049
8/25/26 2:36,Taiwan,Yes,Both 3 and 4 October,r-050
8/25/26 2:38,Nepal,Not Sure yet,Both 3 and 4 October,r-051
8/25/26 2:48,Nepal,Yes,Both 3 and 4 October,r-052
8/25/26 2:52,Nepal,Yes,Both 3 and 4 October,r-053
8/25/26 3:03,Bangladesh,No,4 October,r-054
8/25/26 3:12,Bangladesh,Yes,Both 3 and 4 October,r-055
8/25/26 3:27,Nepal,Yes,Both 3 and 4 October,r-056
8/25/26 3:30,Nepal,Yes,Both 3 and 4 October,r-057
8/25/26 3:32,Nepal,Yes,Both 3 and 4 October,r-058
8/25/26 3:46,Nepal,Yes,Both 3 and 4 October,r-059
8/25/26 4:08,Nepal,Yes,Both 3 and 4 October,r-060
8/25/26 4:27,Bhutan,Yes,Both 3 and 4 October,r-061
8/25/26 4:58,Nepal,Yes,Both 3 and 4 October,r-062
8/25/26 4:58,Myanmar,Not Sure yet,Both 3 and 4 October,r-063
8/25/26 4:59,South Korea,Yes,Both 3 and 4 October,r-064
8/25/26 5:06,India,Yes,Both 3 and 4 October,r-065
8/25/26 5:06,India,Yes,Both 3 and 4 October,r-066
8/25/26 5:15,Afghanistan,Not Sure yet,Both 3 and 4 October,r-067
8/25/26 5:26,Nepal,Yes,Both 3 and 4 October,r-068
8/25/26 6:12,Nepal,Yes,Both 3 and 4 October,r-069
8/25/26 6:41,VietNam,Not Sure yet,Both 3 and 4 October,r-070
8/25/26 7:01,Nepal,Yes,Both 3 and 4 October,r-071
8/25/26 7:04,India,Yes,I am not attending APyIGF onsite,r-072
8/25/26 7:07,Nigeria,No,I am not attending APyIGF onsite,r-073
8/25/26 7:18,Sweden,Yes,Both 3 and 4 October,r-074
8/25/26 7:20,Bangladesh,Yes,Both 3 and 4 October,r-075
8/25/26 7:44,Nepal,Yes,Both 3 and 4 October,r-076
8/25/26 7:53,Nepal,Yes,Both 3 and 4 October,r-077
8/25/26 8:33,Nepal,Yes,Both 3 and 4 October,r-078
8/25/26 8:50,Nepal,Yes,Both 3 and 4 October,r-079
8/25/26 8:55,Philippines,Yes,Both 3 and 4 October,r-080
8/25/26 9:23,India,Yes,Both 3 and 4 October,r-081
8/25/26 9:25,Nepal,Yes,Both 3 and 4 October,r-082
8/25/26 9:35,Bangladesh,Yes,4 October,r-083
8/25/26 9:55,Nepal,Not Sure yet,I am not attending APyIGF onsite,r-084
8/25/26 10:27,Pakistan,Yes,Both 3 and 4 October,r-085
8/25/26 10:48,India,Yes,Both 3 and 4 October,r-086
8/25/26 11:02,Indonesia,Yes,I am not attending APyIGF onsite,r-087
8/25/26 11:54,India,No,I am not attending APyIGF onsite,r-088
8/25/26 12:49,Vietnam,No,I am not attending APyIGF onsite,r-089
8/25/26 15:40,Nepal,Yes,Both 3 and 4 October,r-090
8/26/26 1:51,China Hong Kong,Yes,Both 3 and 4 October,r-091
8/26/26 3:29,Nepal,Yes,Both 3 and 4 October,r-092
8/26/26 3:35,Pakistan,No,I am not attending APyIGF onsite,r-093
8/26/26 3:35,Nepal,Yes,Both 3 and 4 October,r-094
8/26/26 5:05,Nepal,Yes,Both 3 and 4 October,r-095
8/26/26 5:07,Nepal,Yes,Both 3 and 4 October,r-096
8/26/26 6:37,Azerbaijan,Yes,Both 3 and 4 October,r-097
8/26/26 8:45,Nepal,Yes,Both 3 and 4 October,r-098
8/26/26 9:49,India,Yes,Both 3 and 4 October,r-099
8/26/26 10:10,Pakistan,Yes,Both 3 and 4 October,r-100
8/26/26 12:04,India,Yes,Both 3 and 4 October,r-101
8/26/26 13:47,Hong Kong,No,I am not attending APyIGF onsite,r-102
8/26/26 15:02,Nepal,Yes,Both 3 and 4 October,r-103
8/26/26 15:59,Vietnam,No,I am not attending APyIGF onsite,r-104
8/26/26 16:49,Philippines,No,I am not attending APyIGF onsite,r-105
8/26/26 17:12,Indonesia,Yes,Both 3 and 4 October,r-106
8/26/26 18:17,India,Yes,Both 3 and 4 October,r-107
8/26/26 18:32,Pakistan,Yes,Both 3 and 4 October,r-108
8/27/26 3:18,Nepal,Yes,Both 3 and 4 October,r-109
8/27/26 4:58,Nepal,Yes,Both 3 and 4 October,r-110
8/27/26 5:12,Pakistan,Yes,Both 3 and 4 October,r-111
8/27/26 6:09,Nepal,Yes,Both 3 and 4 October,r-112
8/27/26 8:04,Nepal,Yes,Both 3 and 4 October,r-113
8/27/26 10:50,Nepal,Yes,Both 3 and 4 October,r-114
8/27/26 14:27,India,Yes,Both 3 and 4 October,r-115
